siret,nom_entreprise,nom_complet,code_naf,libelle_naf,statut,date_creation,adresse_complete,code_postal,commune,latitude,longitude,risques_inondation,risques_seismique
95241832500025,MISTRAL AI,MISTRAL AI,82.11Z,Services administratifs combinés de bureau,A,2023-04-28,15 RUE DES HALLES 75001 PARIS,75001,PARIS,48.860171758,2.3461942259,True,False
82216804300039,HUGGING FACE,HUGGING FACE,62.01Z,Programmation informatique,A,2016-08-01,9 RUE DES COLONNES 75002 PARIS,75002,PARIS,48.869742039,2.339379054,True,False
42476141900045,OVH,OVH (OVHCLOUD),63.11Z,"Traitement de données, hébergement et activités connexes",A,1999-10-15,2 RUE KELLERMANN 59100 ROUBAIX,59100,ROUBAIX,50.691629331,3.202261085,True,True
33070384400036,CAPGEMINI,CAPGEMINI,70.10Z,Activités des sièges sociaux,A,1984-09-19,11 RUE DE TILSITT 75017 PARIS,75017,PARIS,48.874693367,2.2936562012,True,False
48478624900066,CRITEO,CRITEO,62.02A,Conseil en systèmes et logiciels informatiques,A,2005-09-19,32 RUE BLANCHE 75009 PARIS,75009,PARIS,48.878996723,2.3315943169,True,False
79459881300077,DOCTOLIB,DOCTOLIB,62.01Z,Programmation informatique,A,2013-07-15,54 QUAI CHARLES PASQUA 92300 LEVALLOIS-PERRET,92300,LEVALLOIS-PERRET,48.900771302,2.2849148026,True,False
49190454600034,COMUTO,COMUTO,63.11Z,"Traitement de données, hébergement et activités connexes",A,2006-09-16,84 AVENUE DE LA REPUBLIQUE 75011 PARIS,75011,PARIS,48.864144787,2.3796601156,True,False
